Subject S006, Block B2: 

Utterance 	 Begin 	 End 
--------- 	 ----- 	 --- 
S006_B2_1_1_1 	 0 	 59.8
S006_B2_1_2_1 	 59.8 	 149.5
S006_B2_1_3_1 	 149.5 	 269.1
S006_B2_1_4_1 	 269.1 	 388.7
S006_B2_1_5_1 	 388.7 	 448.5
S006_B2_1_6_1 	 448.5 	 538.2
S006_B2_1_7_1 	 538.2 	 598
S006_B2_1_8_1 	 598 	 657.8
S006_B2_1_9_1 	 657.8 	 717.6
S006_B2_1_10_1 	 717.6 	 777.4
S006_B2_1_11_1 	 777.4 	 882.05
S006_B2_1_12_1 	 882.05 	 956.8
S006_B2_1_13_1 	 956.8 	 1046.5
S006_B2_1_14_1 	 1046.5 	 1106.3
S006_B2_1_15_1 	 1106.3 	 1166.1
S006_B2_1_16_1 	 1166.1 	 1225.9
S006_B2_1_17_1 	 1225.9 	 1285.7
S006_B2_1_18_1 	 1285.7 	 1315.6
S006_B2_1_19_1 	 1315.6 	 1435.2
S006_B2_1_20_1 	 1435.2 	 1524.9
S006_B2_1_21_1 	 1524.9 	 1584.7
S006_B2_1_22_1 	 1584.7 	 1644.5
S006_B2_1_23_1 	 1644.5 	 1704.3
S006_B2_1_24_1 	 1704.3 	 1794
S006_B2_1_25_1 	 1794 	 1823.9
S006_B2_1_26_1 	 1823.9 	 1913.6
S006_B2_1_27_1 	 1913.6 	 1973.4
S006_B2_1_28_1 	 1973.4 	 2033.2
S006_B2_1_29_1 	 2033.2 	 2093
S006_B2_1_30_1 	 2093 	 2182.7
S006_B2_1_31_1 	 2182.7 	 2242.5
S006_B2_1_32_1 	 2242.5 	 2272.4
S006_B2_1_33_1 	 2272.4 	 2332.2
S006_B2_1_34_1 	 2332.2 	 2392
S006_B2_1_35_1 	 2392 	 2481.7
S006_B2_1_36_1 	 2481.7 	 2541.5
S006_B2_1_37_1 	 2541.5 	 2631.2
S006_B2_1_38_1 	 2631.2 	 2691
S006_B2_1_39_1 	 2691 	 2750.8
S006_B2_1_40_1 	 2750.8 	 2810.6
S006_B2_1_41_1 	 2810.6 	 2900.3
S006_B2_1_42_1 	 2900.3 	 2960.1
S006_B2_1_43_1 	 2960.1 	 3049.8
S006_B2_1_44_1 	 3049.8 	 3139.5
S006_B2_1_45_1 	 3139.5 	 3199.3
S006_B2_1_46_1 	 3199.3 	 3259.1
S006_B2_1_47_1 	 3259.1 	 3318.9
S006_B2_1_48_1 	 3318.9 	 3408.6
S006_B2_1_49_1 	 3408.6 	 3498.3
S006_B2_1_50_1 	 3498.3 	 3588
S006_B2_1_51_1 	 3588 	 3677.7
S006_B2_1_52_1 	 3677.7 	 3767.4
S006_B2_1_53_1 	 3767.4 	 3827.2
S006_B2_1_54_1 	 3827.2 	 3887
S006_B2_1_55_1 	 3887 	 4006.6
S006_B2_1_56_1 	 4006.6 	 4066.4
S006_B2_1_57_1 	 4066.4 	 4141.15
S006_B2_1_58_1 	 4141.15 	 4215.9
S006_B2_1_59_1 	 4215.9 	 4275.7
S006_B2_1_60_1 	 4275.7 	 4365.4
S006_B2_1_61_1 	 4365.4 	 4425.2
S006_B2_2_1_1 	 4425.2 	 4485
S006_B2_2_2_1 	 4485 	 4604.6
S006_B2_2_3_1 	 4604.6 	 4694.3
S006_B2_2_4_1 	 4694.3 	 4784
S006_B2_2_5_1 	 4784 	 4903.6
S006_B2_2_6_1 	 4903.6 	 5023.2
S006_B2_2_7_1 	 5023.2 	 5112.9
S006_B2_2_8_1 	 5112.9 	 5187.65
S006_B2_2_9_1 	 5187.65 	 5262.4
S006_B2_2_10_1 	 5262.4 	 5382
S006_B2_2_11_1 	 5382 	 5501.6
S006_B2_2_12_1 	 5501.6 	 5621.2
S006_B2_2_13_1 	 5621.2 	 5710.9
S006_B2_2_14_1 	 5710.9 	 5815.55
S006_B2_2_15_1 	 5815.55 	 5890.3
S006_B2_2_16_1 	 5890.3 	 6009.9
S006_B2_2_17_1 	 6009.9 	 6099.6
S006_B2_2_18_1 	 6099.6 	 6189.3
S006_B2_2_19_1 	 6189.3 	 6308.9
S006_B2_2_20_1 	 6308.9 	 6383.65
S006_B2_2_21_1 	 6383.65 	 6488.3
S006_B2_2_22_1 	 6488.3 	 6548.1
S006_B2_2_23_1 	 6548.1 	 6667.7
S006_B2_100 	 6667.7 	 6967.7
